NAME,Revenue_2015,Revenue_2016,Revenue_2017,Revenue_2018,Revenue_2019,Employees_2017,Employees_2018,Employees_2019,Employees_2020,3_year_moving_average_1,3_year_moving_average_2,3_year_moving_average_3,Revenue_2020
LAKI,19039781738,24671631399,24573762847,22608855366,26574540757,787,805,790,785,22761725328,23951416537,24585719657,17605029550
YETS,3687564000,3663588000,3420430000,3265963000,3465058000,2328,2394,2494,2548,3590527333,3449993667,3383817000,3847730504
PNMD,3139300000,3214000000,3196900000,3193700000,3166000000,6411,6506,7750,7562,3183400000,3201533333,3185533333,4663558800
VKNF,1994112000,2023348000,1982028000,2007387000,2009031000,1850,1925,1995,2050,1999829333,2004254333,1999482000,2075631490
HHVD,761248939,1121284088,1245810056,1317864838,1779401992,5340,5159,5599,5483,1042781028,1228319661,1447692295,1466787436
OWRH,1542346719,1432739017,1684764846,1878176166,1756472782,308,319,343,335,1553283527,1665226676,1773137931,1991623925
DQVE,1198734028,1377446067,1461826444,1657818945,1663037290,3358,3405,3377,3096,1346002180,1499030485,1594227560,1677489920
SMBV,1423357300,1455164329,1406572220,1534895751,1667789302,197,203,209,230,1428364616,1465544100,1536419091,1583771001
LLQC,1462664130,1343274474,1487356029,1562650199,1575028199,3492,3748,3845,3922,1431098211,1464426901,1541678142,1589264380
XXEK,1592032000,1585729000,1476923000,1451335000,1513090000,389,425,442,464,1551561333,1504662333,1480449333,1544749875
LPSU,1710653330,1288229549,1155439498,1233895209,1432188686,262,275,269,228,1384774126,1225854752,1273841131,1414239081
ANND,555973000,576620000,1017173000,1204835000,1109359000,931,1088,1192,1188,716588666.7,932876000,1110455667,1218977463
QASZ,919243085,1015769529,900881782,1006701494,1012184166,640,673,680,662,945298132,974450935,973255814,1365743352
DUNN,661353000,328517000,607659000,872695000,949310000,833,1023,1308,1688,532509666.7,602957000,809888000,1458409164
KVUI,697614279,971291490,1069414216,829647736,891991930.3,4414,4163,4087,4044,912773328.3,956784480.7,930351294.1,922391362.9
